Term,CourseID,Course,Subject,CourseDescr,MaxUnits,AcadCareer,Component,AcadGroup,TotalCapacity,EnrlTotal,WLCapacity,WLTotal,TotalSections
2168,100002,AEROSPC   1A,AEROSPC,FOUND US AIR FORCE,1.00,UGRD,LEC,CLS,40,43,2,0,1
2172,100002,AEROSPC   1A,AEROSPC,FOUND US AIR FORCE,1.00,UGRD,LEC,CLS,0,2,0,0,1
2178,100002,AEROSPC   1A,AEROSPC,FOUND US AIR FORCE,1.00,UGRD,LEC,CLS,40,47,2,0,1
2172,100003,AEROSPC   1B,AEROSPC,FOUND US AIR FORCE,1.00,UGRD,LEC,CLS,40,29,40,0,1
2182,100003,AEROSPC   1B,AEROSPC,FOUND US AIR FORCE,1.00,UGRD,LEC,CLS,41,33,40,0,2
2168,100004,AEROSPC 100,AEROSPC,LEADERSHIP LAB,0.00,UGRD,LAB,CLS,65,7,2,0,1
2172,100004,AEROSPC 100,AEROSPC,LEADERSHIP LAB,0.00,UGRD,LAB,CLS,58,8,58,0,1
2178,100004,AEROSPC 100,AEROSPC,LEADERSHIP LAB,0.00,UGRD,LAB,CLS,65,19,2,0,1
2182,100004,AEROSPC 100,AEROSPC,LEADERSHIP LAB,0.00,UGRD,LAB,CLS,58,9,58,0,1
2168,100005,AEROSPC 135A,AEROSPC,AIR FORCE STUDIES,3.00,UGRD,SEM,CLS,15,9,2,0,1
2178,100005,AEROSPC 135A,AEROSPC,AIR FORCE STUDIES,3.00,UGRD,SEM,CLS,15,19,2,0,1
2172,100006,AEROSPC 135B,AEROSPC,AIR FORCE STUDIES,3.00,UGRD,SEM,CLS,25,12,25,0,1
2182,100006,AEROSPC 135B,AEROSPC,AIR FORCE STUDIES,3.00,UGRD,SEM,CLS,25,14,25,0,1
2168,100008,AEROSPC   2A,AEROSPC,EVOLUT OF AIR POWER,1.00,UGRD,LEC,CLS,30,20,1,0,1
2172,100008,AEROSPC   2A,AEROSPC,EVOLUT OF AIR POWER,1.00,UGRD,LEC,CLS,10,0,10,0,1
2178,100008,AEROSPC   2A,AEROSPC,EVOLUT OF AIR POWER,1.00,UGRD,LEC,CLS,30,42,1,0,1
2182,100008,AEROSPC   2A,AEROSPC,EVOLUT OF AIR POWER,1.00,UGRD,LEC,CLS,10,0,10,0,1
2172,100009,AEROSPC   2B,AEROSPC,EVOLUT OF AIR POWER,1.00,UGRD,LEC,CLS,40,10,40,0,1
