Term,CourseID,Subject,MaxUnits,TotalCapacity,EnrlTotal,TotalSections
2168,100002,AEROSPC,1,40,43,1
2172,100002,AEROSPC,1,0,2,1
2178,100002,AEROSPC,1,40,47,1
2172,100003,AEROSPC,1,40,29,1
2182,100003,AEROSPC,1,41,33,2
2168,100004,AEROSPC,0,65,7,1
2172,100004,AEROSPC,0,58,8,1
2178,100004,AEROSPC,0,65,19,1
2182,100004,AEROSPC,0,58,9,1
2168,100005,AEROSPC,3,15,9,1
2178,100005,AEROSPC,3,15,19,1
2172,100006,AEROSPC,3,25,12,1
2182,100006,AEROSPC,3,25,14,1
2168,100008,AEROSPC,1,30,20,1
2172,100008,AEROSPC,1,10,0,1
2178,100008,AEROSPC,1,30,42,1
2182,100008,AEROSPC,1,10,0,1
2172,100009,AEROSPC,1,40,10,1
2182,100009,AEROSPC,1,41,32,2
2168,100016,AFRICAM,4,14,3,1
2178,100016,AFRICAM,4,14,2,1
2172,100017,AFRICAM,4,14,4,1
2182,100017,AFRICAM,4,14,3,1
2168,100018,AFRICAM,4,40,36,1
2175,100018,AFRICAM,4,60,0,1
2178,100018,AFRICAM,4,40,0,1
2182,100018,AFRICAM,4,61,61,1
2172,100019,AFRICAM,4,28,7,1
2182,100019,AFRICAM,4,28,15,1
2168,100024,AFRICAM,4,20,15,1
2178,100024,AFRICAM,4,18,17,1
2172,100025,AFRICAM,4,14,13,1
2182,100025,AFRICAM,4,17,16,1
2168,100028,AFRICAM,3,75,72,1
2178,100028,AFRICAM,3,71,62,1
2182,100029,AFRICAM,4,75,66,1
2168,100032,AFRICAM,3,30,5,1
2178,100032,AFRICAM,3,30,0,1
2172,100033,AFRICAM,3,40,39,1
2178,100033,AFRICAM,3,40,0,1
2182,100033,AFRICAM,3,35,0,1
2168,100034,AFRICAM,4,69,35,1
2178,100034,AFRICAM,4,66,62,1
2172,100035,AFRICAM,4,50,43,1
2182,100035,AFRICAM,4,50,0,1
2172,100036,AFRICAM,3,35,11,1
2182,100036,AFRICAM,3,35,18,1
2175,100037,AFRICAM,4,30,9,1
2168,100041,AFRICAM,3,70,38,1
2178,100041,AFRICAM,3,70,38,1
2172,100049,AFRICAM,3,35,26,1
2182,100049,AFRICAM,3,48,43,1
2178,100054,AFRICAM,3,24,23,1
2168,100056,AFRICAM,3,25,23,1
2178,100056,AFRICAM,3,28,27,1
2168,100058,AFRICAM,4,61,40,1
2172,100058,AFRICAM,4,40,29,2
2175,100058,AFRICAM,4,50,9,2
2178,100058,AFRICAM,4,61,28,2
2182,100058,AFRICAM,4,60,27,2
2185,100058,AFRICAM,4,25,0,1
2172,100064,AFRICAM,4,138,128,1
2182,100064,AFRICAM,4,135,129,1
2168,100072,AFRICAM,4,10,0,1
2178,100072,AFRICAM,4,25,0,1
2172,100073,AFRICAM,4,15,3,1
2182,100073,AFRICAM,4,15,3,1
2182,100075,AFRICAM,3,35,27,1
2178,100086,AFRICAM,3,51,46,1
2172,100090,AFRICAM,4,80,80,1
2182,100090,AFRICAM,4,100,82,1
2168,100092,AFRICAM,4,30,14,1
2178,100092,AFRICAM,4,30,10,1
2172,100093,AFRICAM,4,15,6,1
2182,100093,AFRICAM,4,15,10,1
2168,100094,AFRICAM,4,31,27,2
2172,100094,AFRICAM,4,33,23,1
2175,100094,AFRICAM,4,35,16,1
2178,100094,AFRICAM,4,47,0,2
2182,100094,AFRICAM,4,115,20,2
2185,100094,AFRICAM,4,35,20,1
2178,100099,AFRICAM,3,32,14,1
2168,100105,AFRICAM,4,115,48,4
2172,100105,AFRICAM,4,220,78,5
2175,100105,AFRICAM,4,30,0,3
2178,100105,AFRICAM,4,121,81,4
2182,100105,AFRICAM,4,242,108,6
2185,100105,AFRICAM,4,30,0,3
2168,100106,AFRICAM,4,116,58,11
2172,100106,AFRICAM,4,313,26,18
2175,100106,AFRICAM,4,5,0,1
2178,100106,AFRICAM,4,117,24,11
2182,100106,AFRICAM,4,318,20,18
2185,100106,AFRICAM,4,5,0,1
2168,100107,AFRICAM,1,21,20,2
2172,100107,AFRICAM,1,20,17,2
2178,100107,AFRICAM,1,20,17,2
2182,100107,AFRICAM,1,20,7,2
2168,100108,AFRICAM,4,11,6,4
2172,100108,AFRICAM,4,13,10,4
2175,100108,AFRICAM,4,22,0,5
2178,100108,AFRICAM,4,11,0,4
2182,100108,AFRICAM,4,13,1,4
2185,100108,AFRICAM,4,22,0,5
2182,100110,AFRICAM,4,25,9,1
2172,100111,AFRICAM,4,15,9,1
2182,100111,AFRICAM,4,15,0,1
2168,100113,AFRICAM,4,15,9,1
2178,100113,AFRICAM,4,15,9,1
2168,100114,AFRICAM,1,14,14,1
2172,100114,AFRICAM,1,48,43,3
2178,100114,AFRICAM,1,32,13,2
2182,100114,AFRICAM,1,29,22,3
2172,100115,AFRICAM,4,15,9,1
2178,100115,AFRICAM,4,35,0,2
2182,100115,AFRICAM,4,15,0,1
2168,100116,AFRICAM,4,27,16,3
2172,100116,AFRICAM,4,15,0,2
2178,100116,AFRICAM,4,22,8,3
2182,100116,AFRICAM,4,24,4,2
2178,100117,AFRICAM,4,15,0,1
2168,100143,AFRICAM,3,189,188,1
2178,100143,AFRICAM,3,191,185,1
2172,100144,AFRICAM,3,72,65,1
2182,100144,AFRICAM,3,75,65,1
2168,100146,AFRICAM,13,20,11,1
2172,100146,AFRICAM,13,15,10,1
2175,100146,AFRICAM,13,30,1,3
2178,100146,AFRICAM,13,20,12,1
2182,100146,AFRICAM,13,15,10,1
2185,100146,AFRICAM,13,30,0,3
2172,100147,AFRICAM,4,15,5,1
2182,100147,AFRICAM,4,15,0,1
2168,100148,AFRICAM,4,2,0,6
2172,100148,AFRICAM,4,26,2,6
2175,100148,AFRICAM,4,51,2,9
2178,100148,AFRICAM,4,6,4,6
2182,100148,AFRICAM,4,26,1,6
2185,100148,AFRICAM,4,51,0,9
2168,100149,AFRICAM,4,10,1,1
2178,100149,AFRICAM,4,1,0,1
2172,100150,AFRICAM,4,10,1,1
2182,100150,AFRICAM,4,10,0,1
2168,100152,AFRICAM,4,15,0,1
2178,100152,AFRICAM,4,10,0,1
2182,100156,AFRICAM,4,30,22,1
2175,100158,AFRICAM,4,28,13,1
2185,100158,AFRICAM,4,28,0,1
2175,100159,AFRICAM,4,20,16,1
2185,100159,AFRICAM,4,20,0,1
2168,100181,AFRICAM,4,80,71,1
2175,100181,AFRICAM,4,35,16,1
2178,100181,AFRICAM,4,83,81,1
2185,100181,AFRICAM,4,35,5,1
2168,100183,AFRICAM,4,75,74,1
2178,100183,AFRICAM,4,102,98,1
2172,100184,AFRICAM,4,63,61,1
2182,100184,AFRICAM,4,65,66,1
2168,100185,AFRICAM,12,15,10,1
2172,100185,AFRICAM,12,12,12,1
2175,100185,AFRICAM,12,10,0,2
2178,100185,AFRICAM,12,15,10,1
2182,100185,AFRICAM,12,13,11,1
2185,100185,AFRICAM,12,10,0,2
2168,100193,AFRICAM,4,220,32,11
2172,100193,AFRICAM,4,372,0,16
2178,100193,AFRICAM,4,220,18,11
2182,100193,AFRICAM,4,384,7,16
2168,100194,AFRICAM,1,21,18,2
2172,100194,AFRICAM,1,20,16,2
2178,100194,AFRICAM,1,20,16,2
2182,100194,AFRICAM,1,20,4,2
2168,100195,AFRICAM,4,0,0,1
2172,100195,AFRICAM,4,4,0,2
2175,100195,AFRICAM,4,5,0,1
2178,100195,AFRICAM,4,0,0,1
2182,100195,AFRICAM,4,4,0,2
2185,100195,AFRICAM,4,5,0,1
2168,100200,AFRICAM,3,11,2,1
2172,100200,AFRICAM,3,5,1,2
2178,100200,AFRICAM,3,11,0,1
2182,100200,AFRICAM,3,5,0,2
2168,100201,AFRICAM,3,2,0,1
2172,100201,AFRICAM,3,5,1,1
2178,100201,AFRICAM,3,2,0,1
2182,100201,AFRICAM,3,5,0,1
2168,100207,AFRICAM,4,17,18,1
2172,100207,AFRICAM,4,17,17,1
2175,100207,AFRICAM,4,51,41,3
2178,100207,AFRICAM,4,17,17,1
2182,100207,AFRICAM,4,18,19,1
2185,100207,AFRICAM,4,52,5,3
2168,100209,AFRICAM,4,31,32,2
2172,100209,AFRICAM,4,17,16,1
2175,100209,AFRICAM,4,34,31,2
2178,100209,AFRICAM,4,35,35,2
