CourseID,Term,TotalAttempts
100002,2168,98
100002,2178,118
100003,2172,92
100003,2182,170
100004,2168,13
100004,2172,20
100004,2178,36
100004,2182,20
100005,2168,36
100005,2178,83
100006,2172,31
100006,2182,42
100008,2168,27
100008,2178,135
100009,2172,37
100009,2182,88
100016,2168,12
100016,2178,33
100017,2172,36
100017,2182,31
100018,2168,120
100018,2182,207
100019,2172,28
100019,2182,42
100024,2168,57
100024,2178,50
100025,2172,50
100025,2182,46
100028,2168,278
100028,2178,194
100029,2182,241
100032,2168,22
100033,2172,108
100033,2178,19
100034,2168,134
100034,2178,161
100035,2172,139
100036,2172,93
100036,2182,71
100037,2175,25
100041,2168,138
100041,2178,145
100049,2172,163
100049,2182,196
100054,2178,132
100056,2168,101
100056,2178,132
100058,2168,123
100058,2172,124
100058,2175,38
100058,2178,97
100058,2182,70
100064,2172,742
100064,2182,516
100073,2172,20
100073,2182,32
100075,2182,78
100086,2178,127
100090,2172,448
100090,2182,602
100092,2168,115
100092,2178,233
100093,2172,58
100093,2182,39
100094,2168,91
100094,2172,86
100094,2175,63
100094,2182,61
100099,2178,97
100105,2168,86
100105,2172,113
100105,2178,118
100105,2182,135
100106,2168,36
100106,2172,35
100106,2178,25
100106,2182,31
100107,2168,55
100107,2172,72
100107,2178,83
100107,2182,43
100108,2168,7
100108,2172,11
100110,2182,13
100111,2172,26
100113,2168,22
100113,2178,16
100114,2168,40
100114,2172,133
100114,2178,52
100114,2182,97
100115,2172,16
100115,2178,12
100115,2182,7
100116,2168,31
100116,2172,11
100116,2178,31
100116,2182,13
100143,2168,825
100143,2178,732
100144,2172,194
100144,2182,247
100146,2168,13
100146,2172,13
100146,2178,13
100146,2182,17
100147,2172,6
100148,2172,1
100148,2175,2
100148,2178,1
100150,2172,5
100156,2182,85
100181,2168,326
100181,2175,42
100181,2178,390
100183,2168,273
100183,2178,429
100184,2172,193
100184,2182,255
100185,2168,11
100185,2172,14
100185,2178,10
100185,2182,23
100193,2168,55
100193,2172,14
100193,2178,23
100193,2182,15
100194,2168,57
100194,2172,63
100194,2178,99
100194,2182,21
100200,2168,2
100200,2172,5
100200,2178,6
100200,2182,1
100201,2168,2
100201,2172,3
100201,2178,3
100207,2168,92
100207,2172,100
100207,2175,99
100207,2178,278
100207,2182,92
100209,2168,146
100209,2172,121
100209,2175,106
100209,2178,120
100209,2182,103
100223,2175,315
100321,2182,14
100349,2168,285
100349,2172,385
100349,2175,47
100349,2178,746
100349,2182,249
100351,2168,1399
100351,2172,473
100351,2178,644
100351,2182,291
100352,2175,71
100352,2178,3
100353,2168,348
100353,2172,314
100353,2178,306
100353,2182,448
100355,2172,63
100473,2168,23
100473,2172,41
100473,2178,8
100473,2182,29
100474,2168,61
100474,2172,124
100474,2178,48
100474,2182,111
100476,2168,25
100476,2172,15
100476,2178,13
100476,2182,3
100477,2178,65
100480,2168,1
100480,2182,8
100512,2168,78
100512,2172,89
100512,2178,30
100512,2182,60
100513,2168,12
100513,2172,20
100513,2178,20
100513,2182,45
100543,2168,765
100543,2172,734
100543,2175,78
100543,2182,785
100553,2168,604
100553,2178,1176
100563,2172,181
100563,2175,98
100563,2182,176
100564,2168,380
100564,2175,82
100564,2182,424
100567,2168,271
100567,2175,49
100567,2178,29
100567,2182,193
100571,2168,135
100571,2172,134
100577,2172,371
100577,2175,35
100577,2182,1
100579,2168,53
100579,2175,25
100579,2178,64
100581,2168,162
100585,2172,119
100589,2182,205
100595,2178,100
100603,2168,105
100603,2178,75
100604,2172,92
100605,2172,118
100605,2178,76
100605,2182,236
100611,2182,60
100619,2168,3
100619,2172,94
100619,2182,61
100620,2175,3
100622,2168,60
100625,2178,150
100630,2168,99
100631,2168,140
100631,2182,152
100635,2172,257
100635,2182,220
100637,2168,226
100637,2178,187
100638,2182,48
100640,2178,209
100641,2168,10
100641,2178,175
100651,2178,199
100653,2168,335
100654,2168,118
100659,2168,158
100660,2172,113
100661,2172,121
100664,2168,215
100664,2178,273
100665,2168,312
100669,2172,882
100669,2182,578
100671,2172,140
100671,2175,34
100671,2182,114
100677,2175,115
100681,2172,155
100681,2175,46
100681,2178,73
100682,2168,74
100685,2172,284
100685,2182,272
100691,2172,616
100698,2172,185
100699,2178,79
100701,2172,112
100701,2182,57
100707,2168,209
100707,2172,220
100707,2175,87
100707,2178,387
100707,2182,446
100725,2172,41
100725,2178,40
100725,2182,6
100726,2168,1
100726,2175,5
100727,2168,94
100727,2172,57
100727,2178,50
100727,2182,89
100728,2168,1
100728,2172,2
100728,2178,2
100728,2182,4
100730,2168,1145
100730,2172,909
100730,2175,32
100730,2178,920
100730,2182,636
100750,2182,38
100752,2168,25
100754,2172,8
